epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,184188,1.15532,1.42783,1.17444,0.52321,0.38648,0.40384,0.27421,1.18031,1.28446,1.168,0.000643101,0.000643101,0.000643101
43,188353,1.15272,1.42178,1.17253,0.52427,0.38598,0.40512,0.27544,1.17824,1.28064,1.16677,0.000628101,0.000628101,0.000628101
44,192548,1.14898,1.41746,1.16993,0.53282,0.38411,0.40688,0.27621,1.17553,1.27674,1.16502,0.000612981,0.000612981,0.000612981
45,196732,1.14715,1.41294,1.16928,0.53544,0.38497,0.40871,0.27739,1.1738,1.27362,1.16379,0.000597754,0.000597754,0.000597754
46,201127,1.14642,1.40944,1.16891,0.53194,0.38869,0.4102,0.27846,1.1726,1.27063,1.16264,0.000582435,0.000582435,0.000582435
47,205894,1.14416,1.40557,1.16793,0.53313,0.38903,0.4116,0.27941,1.17158,1.26736,1.16173,0.00056704,0.00056704,0.00056704
48,210503,1.14148,1.40084,1.16746,0.5343,0.38966,0.41211,0.28035,1.17019,1.2648,1.1606,0.000551584,0.000551584,0.000551584
49,214892,1.14062,1.39644,1.16602,0.54224,0.38805,0.41247,0.28069,1.16902,1.26246,1.15955,0.000536081,0.000536081,0.000536081
50,219438,1.13778,1.38958,1.16412,0.54325,0.38916,0.41394,0.28182,1.16781,1.25936,1.15863,0.000520548,0.000520548,0.000520548
51,224105,1.13485,1.38805,1.16296,0.53879,0.39294,0.41494,0.28249,1.16662,1.25594,1.15768,0.000505,0.000505,0.000505
52,228793,1.13379,1.3833,1.16213,0.53995,0.39435,0.41603,0.28316,1.16551,1.2536,1.15686,0.000489452,0.000489452,0.000489452
53,233245,1.13059,1.37597,1.15996,0.54167,0.3951,0.41705,0.28421,1.1644,1.2512,1.15608,0.000473919,0.000473919,0.000473919
54,237723,1.13063,1.37464,1.15943,0.54548,0.39327,0.41796,0.28508,1.16276,1.24873,1.15502,0.000458416,0.000458416,0.000458416
55,241797,1.13014,1.37071,1.15912,0.54285,0.39366,0.41868,0.28572,1.16124,1.24644,1.15404,0.00044296,0.00044296,0.00044296
56,245864,1.12497,1.36527,1.15629,0.54435,0.3932,0.41925,0.2862,1.1601,1.2442,1.15302,0.000427565,0.000427565,0.000427565
57,249962,1.12376,1.36305,1.15709,0.54337,0.39473,0.41996,0.28703,1.15912,1.24233,1.15238,0.000412246,0.000412246,0.000412246
58,254427,1.12204,1.35782,1.15453,0.54097,0.39538,0.42014,0.28732,1.1585,1.24104,1.15179,0.000397019,0.000397019,0.000397019
59,258496,1.12029,1.35554,1.15426,0.5426,0.39645,0.42088,0.28786,1.15726,1.23934,1.15114,0.000381899,0.000381899,0.000381899
60,262576,1.12027,1.3521,1.15456,0.54769,0.39524,0.42149,0.28863,1.15662,1.23768,1.15097,0.000366899,0.000366899,0.000366899
61,266729,1.11828,1.34624,1.15267,0.55109,0.39428,0.42274,0.28947,1.15604,1.2359,1.15028,0.000352037,0.000352037,0.000352037
62,270846,1.11693,1.34547,1.15179,0.55309,0.39408,0.42378,0.28993,1.1543,1.2341,1.14913,0.000337325,0.000337325,0.000337325
63,274962,1.11472,1.34012,1.15058,0.55456,0.39569,0.42442,0.29046,1.15313,1.23218,1.14821,0.000322778,0.000322778,0.000322778
64,279098,1.11206,1.33351,1.1496,0.55065,0.39734,0.4254,0.29101,1.15173,1.23106,1.14717,0.000308412,0.000308412,0.000308412
65,283214,1.11153,1.33421,1.14926,0.55351,0.39533,0.42572,0.29124,1.15095,1.22957,1.14652,0.000294239,0.000294239,0.000294239
66,287343,1.11075,1.33038,1.14845,0.55793,0.39477,0.42591,0.29166,1.15032,1.22805,1.14583,0.000280275,0.000280275,0.000280275
67,292346,1.10845,1.3275,1.14817,0.55257,0.39806,0.42634,0.29178,1.14969,1.22669,1.14526,0.000266532,0.000266532,0.000266532
68,297193,1.10638,1.32424,1.14684,0.55439,0.39761,0.42689,0.29238,1.1493,1.22533,1.14497,0.000253024,0.000253024,0.000253024
69,302093,1.10555,1.32268,1.14676,0.55881,0.39684,0.427,0.29244,1.14833,1.22431,1.14435,0.000239766,0.000239766,0.000239766
70,306801,1.1028,1.31981,1.14594,0.55829,0.39617,0.42781,0.29326,1.14746,1.22317,1.14381,0.000226769,0.000226769,0.000226769
71,311517,1.10276,1.31824,1.14579,0.55589,0.39723,0.42744,0.29296,1.14695,1.22262,1.14343,0.000214046,0.000214046,0.000214046
72,316474,1.10232,1.31297,1.14395,0.55502,0.39839,0.42832,0.29358,1.14633,1.2222,1.14302,0.000201611,0.000201611,0.000201611
73,321035,1.10167,1.31305,1.14414,0.55756,0.39767,0.42867,0.29385,1.14598,1.22125,1.14273,0.000189475,0.000189475,0.000189475
74,325660,1.10125,1.30905,1.14417,0.55913,0.39719,0.42948,0.29425,1.14532,1.22037,1.14223,0.000177651,0.000177651,0.000177651
75,330054,1.09725,1.30515,1.14146,0.55968,0.3982,0.43003,0.29488,1.1448,1.2193,1.14173,0.000166149,0.000166149,0.000166149
76,334440,1.09824,1.3049,1.14221,0.56137,0.39857,0.43039,0.29515,1.14456,1.21821,1.14157,0.000154982,0.000154982,0.000154982
77,338789,1.09656,1.30266,1.14181,0.56339,0.3974,0.43036,0.2952,1.14426,1.21704,1.14115,0.000144161,0.000144161,0.000144161
78,343258,1.09571,1.2984,1.14085,0.55886,0.40077,0.43086,0.2955,1.14373,1.21647,1.1407,0.000133695,0.000133695,0.000133695
79,347597,1.09386,1.29568,1.14002,0.55521,0.40164,0.43162,0.29574,1.1438,1.21573,1.1405,0.000123596,0.000123596,0.000123596
80,351947,1.09427,1.29538,1.13915,0.55692,0.40151,0.43225,0.29595,1.14339,1.2152,1.13989,0.000113873,0.000113873,0.000113873
81,356282,1.09399,1.29406,1.14003,0.55778,0.40092,0.43185,0.29587,1.14319,1.21501,1.13974,0.000104537,0.000104537,0.000104537
82,360622,1.09181,1.29018,1.13841,0.55987,0.3987,0.43178,0.29585,1.14286,1.21432,1.1396,9.55951e-05,9.55951e-05,9.55951e-05
83,364972,1.09201,1.29111,1.13957,0.55774,0.40021,0.43217,0.29614,1.14286,1.21404,1.13976,8.70577e-05,8.70577e-05,8.70577e-05
84,369317,1.08942,1.28697,1.13813,0.55667,0.40162,0.43229,0.29648,1.14288,1.21364,1.13959,7.89327e-05,7.89327e-05,7.89327e-05
85,373681,1.08973,1.28684,1.1379,0.55667,0.40233,0.43248,0.29667,1.14279,1.21316,1.13944,7.12282e-05,7.12282e-05,7.12282e-05
86,378468,1.08829,1.28426,1.1367,0.55753,0.40253,0.43296,0.29684,1.14253,1.21258,1.1392,6.39518e-05,6.39518e-05,6.39518e-05
87,383210,1.08972,1.28371,1.1373,0.55907,0.40185,0.43295,0.29665,1.14246,1.2123,1.13911,5.71106e-05,5.71106e-05,5.71106e-05
88,387789,1.08932,1.28306,1.13665,0.55937,0.40122,0.43311,0.29666,1.14238,1.21177,1.1391,5.07115e-05,5.07115e-05,5.07115e-05
89,392698,1.08725,1.28266,1.13672,0.55931,0.40097,0.43347,0.29675,1.14231,1.21157,1.13903,4.47606e-05,4.47606e-05,4.47606e-05
90,397474,1.08768,1.28117,1.13634,0.55858,0.40264,0.43365,0.29691,1.14227,1.21123,1.13896,3.9264e-05,3.9264e-05,3.9264e-05
91,402104,1.13544,1.23743,1.1733,0.56706,0.39844,0.43287,0.29642,1.14359,1.21127,1.13951,3.4227e-05,3.4227e-05,3.4227e-05
92,406640,1.12751,1.21862,1.16845,0.57068,0.39582,0.43224,0.29619,1.14381,1.2115,1.13944,2.96546e-05,2.96546e-05,2.96546e-05
93,410916,1.12526,1.21372,1.16685,0.56888,0.39676,0.43236,0.29609,1.14387,1.21128,1.13918,2.55513e-05,2.55513e-05,2.55513e-05
94,415116,1.12207,1.20937,1.16461,0.57175,0.39622,0.43257,0.29646,1.14368,1.21092,1.13902,2.19212e-05,2.19212e-05,2.19212e-05
95,419274,1.12185,1.2067,1.16533,0.57169,0.39624,0.43185,0.29615,1.14377,1.21054,1.13885,1.87678e-05,1.87678e-05,1.87678e-05
96,423458,1.11975,1.20613,1.1648,0.56679,0.39809,0.43214,0.29647,1.14375,1.21003,1.13885,1.60943e-05,1.60943e-05,1.60943e-05
97,427641,1.11858,1.20449,1.16286,0.56777,0.39729,0.43216,0.29648,1.14378,1.20985,1.13869,1.39032e-05,1.39032e-05,1.39032e-05
98,431857,1.12027,1.20359,1.16392,0.56626,0.39923,0.43213,0.2965,1.14383,1.20955,1.13871,1.21968e-05,1.21968e-05,1.21968e-05
99,436032,1.11931,1.20214,1.16381,0.56293,0.40217,0.43207,0.29667,1.1437,1.2092,1.13865,1.09768e-05,1.09768e-05,1.09768e-05
100,440200,1.11914,1.20099,1.1635,0.56441,0.40051,0.43215,0.29682,1.14364,1.2089,1.13854,1.02443e-05,1.02443e-05,1.02443e-05
