epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4518.32,2.4639,3.47278,2.37647,0.52522,0.06332,0.04579,0.0227,2.12763,2.92544,2.04229,0.0670045,0.000333288,0.000333288
2,8862.38,1.83277,2.75083,1.79742,0.29387,0.14268,0.10957,0.06033,1.77123,2.32986,1.76198,0.0340043,0.000666459,0.000666459
3,13128.1,1.66842,2.44919,1.6635,0.37746,0.18375,0.15163,0.08764,1.64979,2.08585,1.64892,0.00100349,0.000998978,0.000998978
4,17355.1,1.57552,2.26024,1.5914,0.38331,0.20741,0.1854,0.11006,1.58361,1.94719,1.59375,0.000997803,0.000997803,0.000997803
5,21407.4,1.51634,2.14039,1.54711,0.39374,0.2233,0.20625,0.12349,1.54192,1.86308,1.56051,0.000996097,0.000996097,0.000996097
6,25477.8,1.47887,2.05952,1.51981,0.411,0.23626,0.22098,0.13307,1.51601,1.81245,1.53969,0.000993906,0.000993906,0.000993906
7,29528,1.44949,1.99685,1.49756,0.41071,0.24264,0.2302,0.13982,1.49829,1.78061,1.52486,0.000991232,0.000991232,0.000991232
8,33677.6,1.42559,1.94594,1.48057,0.42044,0.24996,0.23671,0.14456,1.48506,1.75806,1.51443,0.000988079,0.000988079,0.000988079
9,37814.9,1.40678,1.90841,1.46834,0.43451,0.25247,0.24285,0.14866,1.47331,1.7396,1.50617,0.000984449,0.000984449,0.000984449
10,41943.6,1.39143,1.87103,1.45819,0.42753,0.25513,0.24788,0.15254,1.46275,1.72314,1.49865,0.000980345,0.000980345,0.000980345
11,46066.5,1.37569,1.83492,1.44653,0.43332,0.25618,0.25285,0.15607,1.45396,1.71034,1.49168,0.000975773,0.000975773,0.000975773
12,50353.3,1.36548,1.80997,1.43954,0.44061,0.25791,0.25683,0.15989,1.44556,1.69724,1.48571,0.000970736,0.000970736,0.000970736
13,54494.3,1.35412,1.7905,1.43257,0.44515,0.25926,0.26169,0.16378,1.4362,1.68202,1.47908,0.000965239,0.000965239,0.000965239
14,58642.5,1.34569,1.7656,1.42514,0.43836,0.26182,0.26666,0.16716,1.42801,1.66633,1.47253,0.000959289,0.000959289,0.000959289
15,62803.2,1.33397,1.74652,1.41908,0.4588,0.26462,0.27166,0.17063,1.42031,1.64886,1.46643,0.000952889,0.000952889,0.000952889
16,66942.9,1.32908,1.73211,1.41463,0.45807,0.27178,0.27751,0.17444,1.41303,1.62964,1.46079,0.000946048,0.000946048,0.000946048
17,71098.6,1.32047,1.71379,1.40934,0.44844,0.27776,0.28299,0.17831,1.40393,1.61062,1.45452,0.000938772,0.000938772,0.000938772
18,75474.8,1.31523,1.69803,1.40503,0.46597,0.28312,0.28905,0.18269,1.39442,1.59069,1.44767,0.000931067,0.000931067,0.000931067
19,79695.7,1.3074,1.68512,1.39831,0.48299,0.28258,0.29414,0.18666,1.38614,1.57018,1.44191,0.000922942,0.000922942,0.000922942
20,83987.4,1.30136,1.66917,1.39548,0.4853,0.28677,0.29938,0.19008,1.37838,1.55085,1.43667,0.000914405,0.000914405,0.000914405
21,88234.4,1.29639,1.6625,1.39267,0.47454,0.29345,0.30433,0.19336,1.37041,1.53328,1.43084,0.000905463,0.000905463,0.000905463
22,92432.4,1.28854,1.64497,1.3885,0.47285,0.30189,0.30931,0.19618,1.36399,1.51564,1.42633,0.000896127,0.000896127,0.000896127
23,96779.8,1.28401,1.63699,1.38432,0.47284,0.30624,0.31377,0.1993,1.3577,1.50015,1.42213,0.000886404,0.000886404,0.000886404
24,101430,1.28362,1.62526,1.38335,0.47658,0.3123,0.31821,0.20228,1.35253,1.48575,1.4179,0.000876305,0.000876305,0.000876305
25,105849,1.27591,1.61266,1.37828,0.47925,0.31515,0.3223,0.20524,1.34704,1.47296,1.41418,0.000865839,0.000865839,0.000865839
26,109922,1.27357,1.60477,1.37745,0.48204,0.31692,0.32635,0.20805,1.34244,1.46041,1.41079,0.000855018,0.000855018,0.000855018
27,113979,1.26877,1.59747,1.37521,0.4874,0.31964,0.32956,0.21028,1.3385,1.4488,1.40781,0.000843851,0.000843851,0.000843851
28,118044,1.26615,1.58802,1.37155,0.48593,0.32312,0.33286,0.21259,1.33461,1.43827,1.40443,0.000832349,0.000832349,0.000832349
29,122119,1.26132,1.58163,1.36958,0.48627,0.32564,0.33628,0.21462,1.33053,1.42869,1.40092,0.000820525,0.000820525,0.000820525
30,126201,1.25741,1.57284,1.36652,0.48943,0.32945,0.33939,0.21664,1.32722,1.42034,1.39909,0.000808389,0.000808389,0.000808389
31,130295,1.25198,1.56168,1.36299,0.49894,0.32822,0.34309,0.21887,1.3247,1.41175,1.39756,0.000795954,0.000795954,0.000795954
32,134433,1.25093,1.55844,1.36247,0.49727,0.33257,0.34575,0.22084,1.32215,1.40452,1.39585,0.000783231,0.000783231,0.000783231
33,138748,1.24767,1.55057,1.35973,0.49716,0.33421,0.34815,0.22254,1.31882,1.39775,1.39386,0.000770234,0.000770234,0.000770234
34,142869,1.24357,1.54216,1.35704,0.50418,0.33467,0.35052,0.22425,1.31552,1.3911,1.39134,0.000756976,0.000756976,0.000756976
35,146988,1.24136,1.53629,1.35559,0.50908,0.33882,0.3531,0.22541,1.31253,1.38385,1.38936,0.000743468,0.000743468,0.000743468
36,151129,1.23805,1.53115,1.3534,0.51481,0.33686,0.35519,0.22709,1.31013,1.37725,1.38747,0.000729725,0.000729725,0.000729725
37,155242,1.23515,1.52246,1.35099,0.51671,0.33816,0.35741,0.22857,1.30729,1.37172,1.38604,0.000715761,0.000715761,0.000715761
38,159362,1.23518,1.5197,1.35116,0.5199,0.33768,0.35877,0.22936,1.30555,1.36706,1.38466,0.000701588,0.000701588,0.000701588
39,163582,1.23121,1.51076,1.34796,0.51574,0.34478,0.36148,0.23105,1.3041,1.36216,1.38373,0.000687222,0.000687222,0.000687222
40,167720,1.22759,1.50657,1.34641,0.51368,0.34647,0.3625,0.23194,1.30278,1.3584,1.38297,0.000672675,0.000672675,0.000672675
41,172060,1.22566,1.5026,1.34515,0.51955,0.34582,0.36405,0.23327,1.30142,1.3546,1.38197,0.000657963,0.000657963,0.000657963
42,176522,1.22452,1.4943,1.34371,0.51964,0.34822,0.36593,0.23452,1.29939,1.35058,1.38018,0.000643101,0.000643101,0.000643101
43,180948,1.22184,1.49021,1.34222,0.51946,0.3508,0.36718,0.23548,1.29709,1.34676,1.37849,0.000628101,0.000628101,0.000628101
44,185228,1.217,1.48299,1.33895,0.51851,0.35214,0.36894,0.23648,1.29486,1.34272,1.37686,0.000612981,0.000612981,0.000612981
45,189924,1.21666,1.48019,1.33886,0.515,0.3547,0.37003,0.23738,1.29316,1.33928,1.37575,0.000597754,0.000597754,0.000597754
46,194436,1.21478,1.47641,1.33738,0.51641,0.35628,0.37099,0.23829,1.29116,1.33594,1.37421,0.000582435,0.000582435,0.000582435
47,198535,1.21304,1.47379,1.33666,0.52118,0.35414,0.37207,0.23892,1.28908,1.33156,1.37279,0.00056704,0.00056704,0.00056704
48,202641,1.21055,1.46713,1.33603,0.51614,0.35477,0.3725,0.23939,1.28731,1.32836,1.37136,0.000551584,0.000551584,0.000551584
