epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3917.51,2.56733,3.66178,2.4691,0.59205,0.02935,0.02458,0.01065,2.40019,3.34357,2.24493,0.0670045,0.000333288,0.000333288
2,7468.68,1.98993,3.01978,1.9227,0.33791,0.09483,0.06958,0.03587,1.98306,2.67963,1.91826,0.0340043,0.000666459,0.000666459
3,11010.9,1.82638,2.7377,1.78361,0.3309,0.136,0.10149,0.0549,1.86081,2.43954,1.80792,0.00100349,0.000998978,0.000998978
4,14665.2,1.74097,2.56419,1.71239,0.32047,0.15255,0.1226,0.06814,1.7927,2.30461,1.75061,0.000997803,0.000997803,0.000997803
5,18185.5,1.6886,2.45288,1.66941,0.35601,0.16727,0.13878,0.07779,1.75354,2.22187,1.71592,0.000996097,0.000996097,0.000996097
6,21713.4,1.65363,2.37649,1.6429,0.34292,0.17775,0.14885,0.08442,1.73109,2.17314,1.69564,0.000993906,0.000993906,0.000993906
7,25254.2,1.62629,2.31897,1.62035,0.35449,0.18367,0.15585,0.08923,1.71267,2.13639,1.6803,0.000991232,0.000991232,0.000991232
8,28792.1,1.60282,2.26979,1.60341,0.36252,0.18639,0.16085,0.09231,1.69928,2.11301,1.67078,0.000988079,0.000988079,0.000988079
9,32335.9,1.58852,2.23754,1.5932,0.36602,0.18901,0.16504,0.09507,1.68946,2.09474,1.66199,0.000984449,0.000984449,0.000984449
10,35883.5,1.57306,2.20529,1.58377,0.37079,0.19119,0.16825,0.09724,1.68007,2.08068,1.65488,0.000980345,0.000980345,0.000980345
11,39431.6,1.56032,2.17522,1.57139,0.37783,0.19306,0.17164,0.09961,1.67188,2.06902,1.6482,0.000975773,0.000975773,0.000975773
12,42980.6,1.55012,2.15343,1.56484,0.38342,0.19546,0.1755,0.10227,1.66281,2.05549,1.64196,0.000970736,0.000970736,0.000970736
13,46732.6,1.53851,2.13504,1.55702,0.38482,0.19705,0.17846,0.10458,1.65328,2.04163,1.63493,0.000965239,0.000965239,0.000965239
14,50415.2,1.53352,2.11425,1.55163,0.38694,0.20155,0.18257,0.10732,1.64409,2.02614,1.62825,0.000959289,0.000959289,0.000959289
15,54603,1.52241,2.09707,1.54608,0.37497,0.20554,0.18705,0.11017,1.63551,2.00974,1.62248,0.000952889,0.000952889,0.000952889
16,58434.7,1.51645,2.08364,1.53996,0.38383,0.20829,0.19106,0.11288,1.62619,1.99213,1.61617,0.000946048,0.000946048,0.000946048
17,62149,1.51133,2.06808,1.53617,0.38694,0.20937,0.19532,0.1153,1.61884,1.9752,1.61067,0.000938772,0.000938772,0.000938772
18,65941.3,1.50523,2.05444,1.53191,0.38802,0.21135,0.19802,0.1174,1.6121,1.96007,1.60514,0.000931067,0.000931067,0.000931067
19,69858.1,1.49767,2.0415,1.52554,0.37665,0.21451,0.2015,0.11982,1.60555,1.94423,1.59954,0.000922942,0.000922942,0.000922942
20,73931.9,1.49222,2.02803,1.5218,0.36716,0.21893,0.20451,0.1218,1.59823,1.92853,1.59373,0.000914405,0.000914405,0.000914405
21,78112,1.4854,2.02256,1.51913,0.37204,0.22154,0.20773,0.12379,1.59126,1.91263,1.58898,0.000905463,0.000905463,0.000905463
22,82013.2,1.48069,2.00883,1.51676,0.37384,0.22379,0.21103,0.12589,1.58474,1.8975,1.58408,0.000896127,0.000896127,0.000896127
23,85865,1.47616,2.00113,1.51156,0.37213,0.22692,0.21398,0.12766,1.57927,1.88243,1.57951,0.000886404,0.000886404,0.000886404
24,89822.4,1.47373,1.98953,1.50983,0.38189,0.22692,0.21716,0.12974,1.57378,1.86838,1.57488,0.000876305,0.000876305,0.000876305
25,93575.1,1.46685,1.97945,1.50541,0.38156,0.2294,0.22016,0.13142,1.56864,1.85468,1.57126,0.000865839,0.000865839,0.000865839
26,97321.9,1.46617,1.97207,1.50369,0.38881,0.23245,0.2227,0.13331,1.56364,1.84131,1.56807,0.000855018,0.000855018,0.000855018
27,101087,1.46188,1.96476,1.50176,0.38794,0.2352,0.2257,0.13514,1.55871,1.82861,1.56423,0.000843851,0.000843851,0.000843851
28,105009,1.46003,1.95671,1.49967,0.38678,0.23871,0.22831,0.13672,1.55461,1.81812,1.56125,0.000832349,0.000832349,0.000832349
29,108786,1.45469,1.95009,1.49722,0.38672,0.24073,0.23023,0.1379,1.55073,1.80996,1.55814,0.000820525,0.000820525,0.000820525
30,112565,1.44944,1.94143,1.49354,0.38597,0.24521,0.23244,0.13952,1.54721,1.80049,1.55544,0.000808389,0.000808389,0.000808389
31,116374,1.44581,1.93244,1.49022,0.38929,0.24722,0.23483,0.14069,1.54304,1.792,1.55179,0.000795954,0.000795954,0.000795954
32,120153,1.44411,1.93123,1.49009,0.3933,0.24819,0.2367,0.14187,1.53942,1.78432,1.54901,0.000783231,0.000783231,0.000783231
33,123953,1.44043,1.92379,1.48669,0.39377,0.25048,0.23801,0.14299,1.53607,1.77775,1.54637,0.000770234,0.000770234,0.000770234
34,127736,1.4389,1.9174,1.48549,0.38991,0.25192,0.23966,0.14416,1.53276,1.77111,1.54385,0.000756976,0.000756976,0.000756976
35,131699,1.43628,1.91213,1.48376,0.39621,0.25292,0.24118,0.14521,1.52932,1.76481,1.54099,0.000743468,0.000743468,0.000743468
36,135825,1.43334,1.90749,1.48189,0.39807,0.25486,0.24277,0.14602,1.52633,1.75815,1.53906,0.000729725,0.000729725,0.000729725
37,139920,1.43077,1.89794,1.47908,0.39724,0.25621,0.24433,0.14691,1.52301,1.75195,1.53697,0.000715761,0.000715761,0.000715761
38,143843,1.43005,1.89658,1.47871,0.39967,0.25866,0.2458,0.14811,1.51981,1.74597,1.5347,0.000701588,0.000701588,0.000701588
39,147618,1.42569,1.88652,1.4755,0.38947,0.25927,0.24743,0.14918,1.51795,1.74081,1.53338,0.000687222,0.000687222,0.000687222
40,151359,1.42259,1.88553,1.47435,0.38918,0.26127,0.24846,0.14977,1.51577,1.73544,1.53181,0.000672675,0.000672675,0.000672675
41,155166,1.42031,1.88071,1.47329,0.38863,0.26132,0.24953,0.1503,1.51327,1.73048,1.52999,0.000657963,0.000657963,0.000657963
42,159080,1.41984,1.87446,1.47195,0.39076,0.26202,0.25071,0.15119,1.51101,1.7263,1.52846,0.000643101,0.000643101,0.000643101
43,162948,1.41842,1.87159,1.47118,0.38732,0.26408,0.25168,0.15178,1.50873,1.72149,1.52656,0.000628101,0.000628101,0.000628101
44,166663,1.41422,1.86515,1.46716,0.38954,0.26528,0.25297,0.15262,1.50723,1.71771,1.52563,0.000612981,0.000612981,0.000612981
45,170199,1.41259,1.86086,1.467,0.39303,0.26327,0.25408,0.15344,1.50541,1.71294,1.52415,0.000597754,0.000597754,0.000597754
46,173770,1.41173,1.85943,1.46585,0.3895,0.26561,0.25512,0.15418,1.50385,1.70953,1.52286,0.000582435,0.000582435,0.000582435
