epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,177379,1.41001,1.85517,1.4655,0.38794,0.26686,0.25601,0.15451,1.50232,1.70567,1.52169,0.00056704,0.00056704,0.00056704
48,180927,1.40782,1.85057,1.46462,0.39064,0.2667,0.25677,0.15509,1.50105,1.70313,1.5203,0.000551584,0.000551584,0.000551584
49,184509,1.40613,1.84628,1.4637,0.39588,0.26522,0.25729,0.15565,1.49929,1.69987,1.51914,0.000536081,0.000536081,0.000536081
50,188049,1.40304,1.8408,1.45987,0.39549,0.26577,0.25842,0.15626,1.49836,1.6976,1.51844,0.000520548,0.000520548,0.000520548
51,191806,1.40124,1.84065,1.46017,0.39533,0.26743,0.25937,0.15715,1.49746,1.69493,1.51795,0.000505,0.000505,0.000505
52,195341,1.40015,1.8358,1.4589,0.39336,0.27063,0.25998,0.15778,1.49598,1.6923,1.5167,0.000489452,0.000489452,0.000489452
53,198879,1.39733,1.82848,1.45664,0.39309,0.27167,0.26094,0.15825,1.49521,1.68957,1.51621,0.000473919,0.000473919,0.000473919
54,202423,1.3967,1.82813,1.45537,0.39401,0.2734,0.26194,0.15878,1.4941,1.68733,1.51508,0.000458416,0.000458416,0.000458416
55,205960,1.39813,1.82492,1.45466,0.393,0.27558,0.26264,0.15928,1.49293,1.68479,1.51464,0.00044296,0.00044296,0.00044296
56,209511,1.39262,1.82141,1.4527,0.38979,0.27726,0.26357,0.15965,1.49216,1.68228,1.51386,0.000427565,0.000427565,0.000427565
57,213072,1.39146,1.81616,1.45359,0.39188,0.27803,0.26445,0.16018,1.4908,1.67917,1.51305,0.000412246,0.000412246,0.000412246
58,216844,1.39007,1.8142,1.45101,0.40019,0.27928,0.26551,0.16103,1.48981,1.677,1.51205,0.000397019,0.000397019,0.000397019
59,221037,1.38816,1.81313,1.45028,0.40361,0.28069,0.26627,0.16152,1.48921,1.67513,1.51139,0.000381899,0.000381899,0.000381899
60,225045,1.38723,1.80868,1.44956,0.40426,0.28119,0.26682,0.16172,1.48803,1.67298,1.5105,0.000366899,0.000366899,0.000366899
61,228935,1.38593,1.8026,1.44878,0.4023,0.2817,0.26718,0.16196,1.48656,1.67139,1.50938,0.000352037,0.000352037,0.000352037
62,232800,1.38489,1.80332,1.44736,0.40494,0.28106,0.26812,0.16248,1.48564,1.66902,1.5089,0.000337325,0.000337325,0.000337325
63,236831,1.38296,1.8005,1.44751,0.40864,0.28029,0.26852,0.16286,1.48469,1.66798,1.50804,0.000322778,0.000322778,0.000322778
64,240838,1.37968,1.79097,1.44504,0.40938,0.28138,0.26921,0.16335,1.48355,1.6659,1.50734,0.000308412,0.000308412,0.000308412
65,244789,1.37947,1.79394,1.44528,0.40234,0.28108,0.26977,0.16358,1.48294,1.66421,1.50675,0.000294239,0.000294239,0.000294239
66,248537,1.37906,1.79232,1.44452,0.40162,0.28173,0.27025,0.16386,1.48283,1.66284,1.50637,0.000280275,0.000280275,0.000280275
67,252301,1.37753,1.78833,1.44356,0.40351,0.28301,0.27049,0.16405,1.4822,1.66189,1.50586,0.000266532,0.000266532,0.000266532
68,255886,1.37543,1.7845,1.44132,0.40082,0.28383,0.27077,0.16413,1.48118,1.6609,1.50499,0.000253024,0.000253024,0.000253024
69,259470,1.37336,1.78076,1.4399,0.40265,0.28425,0.27111,0.16422,1.48038,1.65929,1.50464,0.000239766,0.000239766,0.000239766
70,263067,1.37291,1.78048,1.44133,0.41107,0.28325,0.27182,0.1648,1.47957,1.6579,1.50416,0.000226769,0.000226769,0.000226769
71,266656,1.37306,1.78049,1.44098,0.41688,0.2814,0.27223,0.16498,1.47906,1.65645,1.50407,0.000214046,0.000214046,0.000214046
72,270247,1.37133,1.77352,1.43805,0.41722,0.28169,0.27282,0.16526,1.47853,1.65554,1.50337,0.000201611,0.000201611,0.000201611
73,273846,1.37185,1.77629,1.43908,0.41537,0.28227,0.27307,0.16521,1.47781,1.65514,1.50237,0.000189475,0.000189475,0.000189475
74,277444,1.37274,1.77237,1.43894,0.41401,0.28172,0.27353,0.16558,1.47742,1.65437,1.50193,0.000177651,0.000177651,0.000177651
75,281299,1.36686,1.7668,1.43633,0.41343,0.28219,0.27373,0.16587,1.47714,1.65362,1.50176,0.000166149,0.000166149,0.000166149
76,284966,1.36915,1.77048,1.43785,0.41163,0.28361,0.27378,0.16594,1.47646,1.653,1.5012,0.000154982,0.000154982,0.000154982
77,288570,1.36666,1.76786,1.43705,0.41223,0.28401,0.27426,0.16581,1.47616,1.6519,1.50113,0.000144161,0.000144161,0.000144161
78,292215,1.36607,1.76288,1.43527,0.41305,0.28446,0.27451,0.16615,1.47568,1.65038,1.50109,0.000133695,0.000133695,0.000133695
79,295841,1.36494,1.76046,1.43556,0.41154,0.28425,0.27514,0.16626,1.47526,1.64931,1.50088,0.000123596,0.000123596,0.000123596
80,299476,1.36504,1.75969,1.43382,0.41293,0.28553,0.27565,0.16639,1.47462,1.64799,1.50061,0.000113873,0.000113873,0.000113873
81,303099,1.36459,1.75878,1.43445,0.41335,0.2858,0.27565,0.16652,1.47437,1.64709,1.50067,0.000104537,0.000104537,0.000104537
82,306954,1.3631,1.75577,1.43303,0.41147,0.28651,0.2757,0.1665,1.47425,1.64661,1.50019,9.55951e-05,9.55951e-05,9.55951e-05
83,310582,1.36385,1.75707,1.43369,0.41093,0.28677,0.27599,0.16675,1.47432,1.6462,1.50028,8.70577e-05,8.70577e-05,8.70577e-05
84,314394,1.36131,1.75173,1.43222,0.41361,0.28601,0.27621,0.16695,1.47419,1.6457,1.50008,7.89327e-05,7.89327e-05,7.89327e-05
85,318033,1.36233,1.75275,1.43227,0.41358,0.2855,0.27635,0.16711,1.4742,1.64573,1.49996,7.12282e-05,7.12282e-05,7.12282e-05
86,321705,1.35933,1.75102,1.4313,0.41457,0.28598,0.27672,0.16724,1.47431,1.64554,1.49995,6.39518e-05,6.39518e-05,6.39518e-05
87,325485,1.3623,1.74966,1.43211,0.41406,0.28623,0.27681,0.16733,1.47413,1.64503,1.49989,5.71106e-05,5.71106e-05,5.71106e-05
88,329138,1.3616,1.75003,1.43086,0.41491,0.28661,0.27732,0.16758,1.47391,1.64412,1.49975,5.07115e-05,5.07115e-05,5.07115e-05
89,332802,1.35887,1.75104,1.4304,0.41647,0.28545,0.27746,0.16764,1.47418,1.64445,1.49983,4.47606e-05,4.47606e-05,4.47606e-05
90,336476,1.35829,1.74798,1.42934,0.41566,0.28705,0.27738,0.16769,1.47378,1.64375,1.4999,3.9264e-05,3.9264e-05,3.9264e-05
91,339829,1.50669,1.74298,1.50121,0.40574,0.28764,0.27687,0.16729,1.474,1.64375,1.4997,3.4227e-05,3.4227e-05,3.4227e-05
92,343186,1.49595,1.71694,1.4918,0.40691,0.2858,0.27692,0.16747,1.47366,1.64286,1.49905,2.96546e-05,2.96546e-05,2.96546e-05
93,346543,1.49339,1.71043,1.4876,0.40734,0.28688,0.27658,0.16753,1.47367,1.64195,1.49886,2.55513e-05,2.55513e-05,2.55513e-05
94,349921,1.49079,1.70907,1.4866,0.40579,0.28793,0.27644,0.16756,1.47335,1.64197,1.49835,2.19212e-05,2.19212e-05,2.19212e-05
95,353264,1.48859,1.70321,1.48513,0.40483,0.28856,0.27676,0.16772,1.4735,1.64089,1.49859,1.87678e-05,1.87678e-05,1.87678e-05
96,356603,1.4873,1.70392,1.48684,0.4059,0.28859,0.27701,0.16796,1.47371,1.64056,1.49834,1.60943e-05,1.60943e-05,1.60943e-05
97,359945,1.48682,1.70121,1.48437,0.40861,0.28716,0.27742,0.16826,1.47332,1.64001,1.49787,1.39032e-05,1.39032e-05,1.39032e-05
98,363288,1.48712,1.69983,1.48393,0.40786,0.28697,0.27743,0.16855,1.47308,1.63928,1.49749,1.21968e-05,1.21968e-05,1.21968e-05
99,366720,1.48717,1.69863,1.48473,0.40773,0.28722,0.27752,0.16855,1.47264,1.63882,1.49717,1.09768e-05,1.09768e-05,1.09768e-05
100,370067,1.48471,1.69793,1.48225,0.40603,0.28712,0.27726,0.16843,1.47235,1.63876,1.49694,1.02443e-05,1.02443e-05,1.02443e-05
